Analyzer,AllFunctions,DeadFunctions,PredictedDeadFunctions,TrueDeadFunctions(TP),AliveFunctions,PredictedAliveFunctions,TrueAliveFunctions,Accuracy,Precision,Recall,Fscore
static,342,170,152,84,172,190,104,0.54970760233918125603,0.55263157894736847364,0.49411764705882355031,0.52173913043478259421
static nativecalls,342,170,152,84,172,190,104,0.54970760233918125603,0.55263157894736847364,0.49411764705882355031,0.52173913043478259421
static nativecalls dynamic,342,170,91,84,172,251,165,0.72807017543859653408,0.92307692307692312816,0.49411764705882355031,0.64367816091954022095
static nativecalls dynamic closure_compiler,342,170,91,84,172,251,165,0.72807017543859653408,0.92307692307692312816,0.49411764705882355031,0.64367816091954022095
static nativecalls dynamic closure_compiler npm_cg,342,170,71,65,172,271,166,0.67543859649122806044,0.91549295774647887480,0.38235294117647056211,0.53941908713692943156
static nativecalls dynamic closure_compiler npm_cg tajs,342,170,71,65,172,271,166,0.67543859649122806044,0.91549295774647887480,0.38235294117647056211,0.53941908713692943156
static nativecalls dynamic closure_compiler npm_cg tajs acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static nativecalls dynamic closure_compiler npm_cg acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static nativecalls dynamic closure_compiler tajs,342,170,91,84,172,251,165,0.72807017543859653408,0.92307692307692312816,0.49411764705882355031,0.64367816091954022095
static nativecalls dynamic closure_compiler tajs acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static nativecalls dynamic closure_compiler acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static nativecalls dynamic npm_cg,342,170,71,65,172,271,166,0.67543859649122806044,0.91549295774647887480,0.38235294117647056211,0.53941908713692943156
static nativecalls dynamic npm_cg tajs,342,170,71,65,172,271,166,0.67543859649122806044,0.91549295774647887480,0.38235294117647056211,0.53941908713692943156
static nativecalls dynamic npm_cg tajs acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static nativecalls dynamic npm_cg acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static nativecalls dynamic tajs,342,170,91,84,172,251,165,0.72807017543859653408,0.92307692307692312816,0.49411764705882355031,0.64367816091954022095
static nativecalls dynamic tajs acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static nativecalls dynamic acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static nativecalls closure_compiler,342,170,152,84,172,190,104,0.54970760233918125603,0.55263157894736847364,0.49411764705882355031,0.52173913043478259421
static nativecalls closure_compiler npm_cg,342,170,115,65,172,227,122,0.54678362573099414945,0.56521739130434778264,0.38235294117647056211,0.45614035087719295714
static nativecalls closure_compiler npm_cg tajs,342,170,115,65,172,227,122,0.54678362573099414945,0.56521739130434778264,0.38235294117647056211,0.45614035087719295714
static nativecalls closure_compiler npm_cg tajs acg,342,170,67,48,172,275,153,0.58771929824561408573,0.71641791044776115260,0.28235294117647058432,0.40506329113924050001
static nativecalls closure_compiler npm_cg acg,342,170,67,48,172,275,153,0.58771929824561408573,0.71641791044776115260,0.28235294117647058432,0.40506329113924050001
static nativecalls closure_compiler tajs,342,170,152,84,172,190,104,0.54970760233918125603,0.55263157894736847364,0.49411764705882355031,0.52173913043478259421
static nativecalls closure_compiler tajs acg,342,170,67,48,172,275,153,0.58771929824561408573,0.71641791044776115260,0.28235294117647058432,0.40506329113924050001
static nativecalls closure_compiler acg,342,170,67,48,172,275,153,0.58771929824561408573,0.71641791044776115260,0.28235294117647058432,0.40506329113924050001
static nativecalls npm_cg,342,170,115,65,172,227,122,0.54678362573099414945,0.56521739130434778264,0.38235294117647056211,0.45614035087719295714
static nativecalls npm_cg tajs,342,170,115,65,172,227,122,0.54678362573099414945,0.56521739130434778264,0.38235294117647056211,0.45614035087719295714
static nativecalls npm_cg tajs acg,342,170,67,48,172,275,153,0.58771929824561408573,0.71641791044776115260,0.28235294117647058432,0.40506329113924050001
static nativecalls npm_cg acg,342,170,67,48,172,275,153,0.58771929824561408573,0.71641791044776115260,0.28235294117647058432,0.40506329113924050001
static nativecalls tajs,342,170,152,84,172,190,104,0.54970760233918125603,0.55263157894736847364,0.49411764705882355031,0.52173913043478259421
static nativecalls tajs acg,342,170,67,48,172,275,153,0.58771929824561408573,0.71641791044776115260,0.28235294117647058432,0.40506329113924050001
static nativecalls acg,342,170,67,48,172,275,153,0.58771929824561408573,0.71641791044776115260,0.28235294117647058432,0.40506329113924050001
static dynamic,342,170,91,84,172,251,165,0.72807017543859653408,0.92307692307692312816,0.49411764705882355031,0.64367816091954022095
static dynamic closure_compiler,342,170,91,84,172,251,165,0.72807017543859653408,0.92307692307692312816,0.49411764705882355031,0.64367816091954022095
static dynamic closure_compiler npm_cg,342,170,71,65,172,271,166,0.67543859649122806044,0.91549295774647887480,0.38235294117647056211,0.53941908713692943156
static dynamic closure_compiler npm_cg tajs,342,170,71,65,172,271,166,0.67543859649122806044,0.91549295774647887480,0.38235294117647056211,0.53941908713692943156
static dynamic closure_compiler npm_cg tajs acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static dynamic closure_compiler npm_cg acg,342,170,50,48,172,292,170,0.63742690058479534176,0.95999999999999996447,0.28235294117647058432,0.43636363636363639795
static dynamic closure_compiler tajs,342,170,91,84,172,251,165,0.72807017543859653408,0.92307692307692312816,0.49411764705882355031,0.64367816091954022095
